user_id,course_id,completed,rating
1,33,True,4.1
1,105,True,3.8
1,113,True,4.1
1,112,True,2.6
1,26,True,3.8
1,110,True,4.2
1,107,False,
1,30,True,5.0
1,58,True,3.6
1,52,True,3.4
2,38,True,3.6
2,51,True,3.1
2,46,True,4.5
2,4,True,4.2
2,14,True,4.0
2,16,True,4.6
2,10,True,4.0
2,17,False,
2,27,True,2.6
2,47,True,3.4
3,111,False,
3,108,True,3.2
3,104,False,
3,115,False,
3,112,True,4.2
3,109,True,3.8
3,116,False,
3,110,True,3.4
3,35,True,4.5
3,31,True,4.4
4,15,True,3.5
4,6,True,3.9
4,92,True,4.2
4,96,True,5.0
4,9,True,4.6
4,3,True,3.9
4,20,True,4.0
4,22,False,
5,23,True,3.3
5,34,True,4.0
5,28,True,3.7
5,33,False,
5,32,True,4.9
5,104,True,3.9
6,26,True,5.0
6,30,False,
6,100,True,4.4
6,25,True,5.0
6,101,True,5.0
6,92,False,
7,91,False,
7,98,False,
7,99,True,3.0
7,102,True,4.8
7,27,True,4.2
8,32,True,3.7
8,30,True,4.0
8,29,True,4.0
8,19,True,4.1
8,27,True,3.9
8,20,True,3.6
8,25,True,3.6
8,22,False,
8,104,True,4.0
8,39,True,3.6
9,60,True,3.8
9,94,True,4.8
9,64,True,4.2
9,91,True,4.3
9,62,False,
9,3,True,4.4
10,41,False,
10,79,True,4.1
10,40,True,2.9
10,76,False,
10,78,True,4.4
10,116,True,3.8
10,28,True,3.4
11,50,True,4.5
11,108,True,4.5
11,49,True,4.4
11,118,True,3.6
11,53,True,4.5
11,80,True,4.7
12,101,True,4.0
12,98,True,3.5
12,102,True,3.7
12,76,True,4.8
13,100,True,2.9
13,18,True,3.8
13,33,True,2.5
13,48,True,4.2
14,71,True,4.4
14,81,True,4.0
14,75,True,4.1
14,78,True,3.2
14,103,True,3.9
14,99,True,2.9
14,97,True,4.7
15,67,False,
15,57,True,2.5
15,60,True,4.1
15,55,True,4.2
16,114,False,
16,79,True,2.9
16,115,True,4.0
16,106,False,
16,108,True,4.2
16,110,True,3.3
16,56,True,4.5
16,54,True,3.7
17,6,True,4.7
17,89,True,4.0
17,90,True,3.5
17,12,True,4.5
17,47,True,3.9
17,88,True,3.9
18,39,False,
18,98,False,
18,37,False,
18,35,True,5.0
18,87,False,
18,99,True,3.8
18,40,True,4.1
18,62,True,3.5
18,55,True,5.0
19,78,True,5.0
19,76,True,2.9
19,89,True,4.8
19,73,True,3.5
19,8,True,3.4
20,4,True,4.2
20,86,True,3.7
20,12,True,3.1
20,15,True,4.8
20,3,True,4.5
20,97,True,3.6
20,113,True,4.0
20,101,True,4.7
21,60,False,
21,58,False,
21,57,True,4.2
21,62,True,4.4
21,65,True,4.5
21,106,True,5.0
21,10,True,2.7
22,2,True,3.5
22,7,False,
22,16,True,4.9
22,1,False,
22,11,True,4.9
22,17,True,4.2
22,95,True,4.6
22,59,True,3.2
23,103,False,
23,118,True,4.0
23,107,False,
23,108,False,
23,21,True,5.0
23,111,False,
23,31,True,4.1
23,32,False,
23,116,False,
23,62,True,4.4
23,14,True,3.6
24,30,False,
24,9,True,4.0
24,14,True,4.4
24,25,True,3.7
24,10,True,3.8
24,18,True,5.0
24,113,True,4.0
25,55,True,4.2
25,56,True,3.1
25,52,True,5.0
25,66,True,3.6
25,62,True,4.7
25,68,True,3.8
